frameID 2        index 15       17       36       37       35       34       area  5.6252   circularity  0.9056   centerXYZ  16.70  2.14   10.06 
frameID 2        index 16       18       99       98       96       97       area  5.8340   circularity  0.9059   centerXYZ  18.91  11.06  10.11 
frameID 2        index 23       25       44       45       43       42       area  5.6887   circularity  0.9060   centerXYZ  3.31   4.70   9.98  
frameID 2        index 24       25       44       46       27       26       area  5.7300   circularity  0.9055   centerXYZ  5.52   3.41   10.04 
frameID 2        index 27       29       48       49       47       46       area  5.8195   circularity  0.9063   centerXYZ  7.76   4.67   10.05 
frameID 2        index 28       29       48       50       31       30       area  5.7194   circularity  0.9057   centerXYZ  10.00  3.39   10.11 
frameID 2        index 31       33       52       53       51       50       area  5.6922   circularity  0.9060   centerXYZ  12.22  4.69   10.06 
frameID 2        index 32       33       52       54       35       34       area  5.6862   circularity  0.9065   centerXYZ  14.46  3.41   10.04 
frameID 2        index 35       37       56       57       55       54       area  5.6091   circularity  0.9060   centerXYZ  16.67  4.69   10.12 
frameID 2        index 36       37       56       58       39       38       area  5.7675   circularity  0.9067   centerXYZ  18.91  3.38   10.05 
frameID 2        index 43       45       64       65       63       62       area  5.5490   circularity  0.9062   centerXYZ  3.33   7.23   9.95  
frameID 2        index 44       45       64       66       47       46       area  5.6501   circularity  0.9061   centerXYZ  5.53   5.96   10.01 
frameID 2        index 47       49       68       69       67       66       area  5.6255   circularity  0.9063   centerXYZ  7.78   7.22   9.96  
frameID 2        index 48       49       68       70       51       50       area  5.6156   circularity  0.9060   centerXYZ  10.00  5.95   10.04 
frameID 2        index 51       53       72       73       71       70       area  5.6817   circularity  0.9066   centerXYZ  12.19  7.26   10.05 
frameID 2        index 52       53       72       74       55       54       area  5.8128   circularity  0.9067   centerXYZ  14.43  5.97   10.08 
frameID 2        index 55       57       76       77       75       74       area  5.6399   circularity  0.9063   centerXYZ  16.69  7.23   10.08 
frameID 2        index 56       57       76       78       59       58       area  5.8819   circularity  0.9064   centerXYZ  18.92  5.94   10.04 
frameID 2        index 63       65       84       85       83       82       area  5.7153   circularity  0.9066   centerXYZ  3.35   9.78   9.93  
frameID 2        index 64       65       84       86       67       66       area  5.6864   circularity  0.9066   centerXYZ  5.56   8.49   9.92  
frameID 2        index 67       69       88       89       87       86       area  5.6733   circularity  0.9067   centerXYZ  7.76   9.76   9.89  
frameID 2        index 68       69       88       90       71       70       area  5.6838   circularity  0.9061   centerXYZ  9.99   8.49   9.97  
frameID 2        index 71       73       92       93       91       90       area  5.6588   circularity  0.9059   centerXYZ  12.23  9.81   10.05 
frameID 2        index 72       73       92       94       75       74       area  5.7633   circularity  0.9056   centerXYZ  14.46  8.52   10.08 
frameID 2        index 75       77       96       97       95       94       area  5.7771   circularity  0.9064   centerXYZ  16.68  9.80   10.09 
frameID 2        index 76       77       96       98       79       78       area  5.7262   circularity  0.9061   centerXYZ  18.92  8.51   10.07 
frameID 3        index 3        5        24       25       23       22       area  5.6881   circularity  0.9060   centerXYZ  3.34   2.13   10.10 
frameID 3        index 4        6        87       86       84       85       area  5.6477   circularity  0.9061   centerXYZ  5.54   11.09  9.92  
frameID 3        index 7        9        28       29       27       26       area  5.5823   circularity  0.9057   centerXYZ  7.73   2.11   10.06 
frameID 3        index 8        10       91       90       88       89       area  5.6776   circularity  0.9065   centerXYZ  10.01  11.08  9.98  
frameID 3        index 12       14       95       94       92       93       area  5.7514   circularity  0.9060   centerXYZ  14.43  11.09  10.08 
frameID 3        index 15       17       36       37       35       34       area  5.5173   circularity  0.9062   centerXYZ  16.70  2.12   10.09 
frameID 3        index 16       18       99       98       96       97       area  5.7643   circularity  0.9061   centerXYZ  18.90  11.06  10.08 
frameID 3        index 23       25       44       45       43       42       area  5.7603   circularity  0.9055   centerXYZ  3.32   4.70   10.01 
frameID 3        index 24       25       44       46       27       26       area  5.5916   circularity  0.9048   centerXYZ  5.55   3.41   10.06 
